id,fecha,categoria_principal,nombre,precio_bs,precio_usd,tasa_bcv_usd,precio_ref,pagina,url_pagina,timestamp
109,2026-04-20,Ingredientes_Para_Postres,PAPEL HIG ROSAL PLUS 4ROLL 400HOJAS NARANJA,1444.03,3.00,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
110,2026-04-20,Ingredientes_Para_Postres,POLLO ENTERO XUND,4282.84,8.90,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
111,2026-04-20,Ingredientes_Para_Postres,HUEVOS EL TUNAL 30UND,3777.56,7.85,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
112,2026-04-20,Ingredientes_Para_Postres,ARCOS DENTALES GALACTIC X30UND,1116.42,2.32,481.22,,7,https://www.plansuarez.com/index.php?route=product/category&path=238&page=7,2026-04-20T18:00:02.630998
113,2026-04-20,Ingredientes_Para_Postres,MIEL PURA 100% YEMAR 230ML,1411.56,2.93,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
114,2026-04-20,Ingredientes_Para_Postres,MIEL PURA 100% YEMAR 500ML,1796.53,3.73,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
115,2026-04-20,Ingredientes_Para_Postres,MINI GELATINA FUIT JELLY 306GR X 20UND BOLSA,1287.61,2.68,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
116,2026-04-20,Ingredientes_Para_Postres,PASTA DE GUAYABA LA ANDINA 300GR,1858.06,3.86,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
117,2026-04-20,Ingredientes_Para_Postres,PASTA DE GUAYABA LA ANDINA 450GR,2567.78,5.34,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
118,2026-04-20,Ingredientes_Para_Postres,POLVO HORNEAR BICARBIX,1339.71,2.78,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
119,2026-04-20,Ingredientes_Para_Postres,POLVO HORNEAR JOSSIE 150GR,1304.93,2.71,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
120,2026-04-20,Ingredientes_Para_Postres,POLVO HORNEAR THE GRANDMOTHER 160GR,1240.52,2.58,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
121,2026-04-20,Ingredientes_Para_Postres,PUDIN SONRISSA 72GR CHOCOLATE,794.37,1.65,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
122,2026-04-20,Ingredientes_Para_Postres,PUDIN TIGO 30GR CHOCOLATE ZERO,295.48,0.61,481.22,,8,https://www.plansuarez.com/index.php?route=product/category&path=238&page=8,2026-04-20T18:00:06.155807
